GEO,PARTNER,"PROPERTY 
CODE","PROPERTY
INFO / NOTES",VENDOR CODE,NAME,AREA,ADDRESS,ORDER #,BIKE BILLING,# OF BIKES,BIKE TYPE,"LOCK 
CODE",STORAGE LOCATION,BIKE START DATE,BIKE END DATE
1151,"360 Blue, LLC",SBSVB101,"Sunset Villas
Gate: 7581",40 * 437174,SB Villas Beta,U1-Seacrest South,10140 E County Hwy 30A #B101,N/A,Monthly,3,Blue Tire 360 YOLO,0101,Bikes are located on the community bike rack directly north of building A in the far east parking lot.,10/31/2018,1/15/2021
1152,"Benchmark Management, LLC",PVILL,"Sunset Villas
Gate: 7581",489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Paradise Villa,U1-Seacrest South,10140 E County Hwy 30A #B301,N/A,Paid,2,Generic TAXI,0301,,10/31/2018,1/17/2019
1153,Royal,B402SUN,"Sunset Villas
Gate: 7581","Kaba: 84 * 919957 
Lockbox: 1534 or 3841",B402 Sunset Beach Villa,U1-Seacrest South,10140 E County Hwy 30A #B402,2009,Monthly,4,Royal TAXI,0402,"On the community bike rack, on the north side of building C parking lot.",10/31/2018,
1154,"360 Blue, LLC",SBSVC202,"Sunset Villas
Gate: 7581
Old name: SB Villas Alpha",40 * 437174,KYMA- Unit C202,U1-Seacrest South,10140 E County Hwy 30A #C202,1049,Monthly,4,Blue Tire 360 YOLO,0202,"On the community bike rack, on the north side of building C parking lot.",10/31/2018,
1155,"360 Blue, LLC",SB44SS,,40 * 437174,Sandy Shores Alpha,U1-Seacrest South,44 Sandy Shores Court,N/A,Monthly,10,Blue Tire 360 YOLO,0044,,9/2/2018,11/28/2020
1156,Royal,SEAMILES,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Sea For Miles,U1-Seacrest South,81 Sandy Shores Court,30520,Monthly,4,Royal TAXI,0081,,10/31/2018,9/13/2021
1157,30A Luxury,SC-SAND1,Gate: 706#,,98 Sandy Shores,U1-Seacrest South,98 Sandy Shores Court,29492,Monthly,6,30A Lux TAXI,0098,Bike rack by parking pad.,1/26/2022,
1158,"Dune Real Estate Company, LLC",Blue Heron | 98 Sandy Shores Court (8br/7.5ba),,,Blue Heron | 98 Sandy Shores Court (8br/7.5ba),U1-Seacrest South,98 Sandy Shores Court,N/A,Monthly,8,Dune YOLO,0098,,9/1/2021,1/25/2022
1159,30A Luxury,SC-SHOR3,Gate: 706#,,Villa Sandy Shores,U1-Seacrest South,113 Sandy Shores Court,840,Monthly,6,30A Lux TAXI,0113,Bike rack on the left (north) side of the driveway.,10/31/2018,
1162,Rosemary Cottages,Paradise By Marie Cottage,,,Paradise By Marie Cottage,U1-Seacrest South,136 Paradise by the Sea Boulevard,N/A,Paid,8,Generic TAXI,1506,,10/27/2018,12/31/2021
1163,Rosemary Cottages,PMAR3,,,Paradise By Marie Carriage,U1-Seacrest South,136 Paradise by the Sea Boulevard,N/A,Paid,4,,2506,,10/27/2018,7/25/2019
1164,"360 Blue, LLC",SB226PBS,"Gate Code: #7046
Access Garage through home.",40 * 437174,,U1-Seacrest South,226 Paradise By The Sea Boulevard,1027,Monthly,6,Blue Tire 360 YOLO,0226,In the garage.,10/4/2020,2/2/2023
1165,30A Luxury,High Pointe 11E,,,High Pointe 11E,U1-Seacrest South,10254 E County Hwy 30A #11E,N/A,Monthly,4,30A Lux TAXI,0011,,8/13/2019,1/12/2021
1166,30A Luxury,HP32W,,,HP32W,U1-Seacrest South,10254 E County Hwy 30A #32W,N/A,Monthly,4,30A Lux TAXI,0032,,10/31/2018,1/12/2021
1167,Rosemary Cottages,CORA1,,,Coral Cottage,U1-Seacrest South,16 Sunset Beach Place,N/A,Paid,4,,1523,,10/27/2018,1/30/2019
1168,Scenic Stays 30A LLC,66 Walton Gulfview,,,66 Walton Gulfview,R-Seacrest Area,66 Walton Gulfview Drive,3098,Paid,0,2022 Vacayzen TAXI,0066,,1/22/2021,3/11/2021
1169,Sandpiper,MAGSUN,,,Magnolia Sunset,R-Seacrest Area,18 Wisteria Lane,29017,Paid,2,2022 Vacayzen TAXI,0018,,1/5/2022,12/31/2022
1170,Royal,105PELCN,There is a gate in front of the house. It is manual and you can slide it open.,,105 Pelican Circle,R-Seacrest Area,105 Pelican Circle,52659,Monthly,4,Royal TAXI,0105,,4/1/2023,
1171,Scenic Stays 30A LLC,179PPA+B,A & B,,179 Pelican A & B,R-Seacrest Area,179 Pelican Circle,30377,Paid,5,Generic TAXI,0179,,1/23/2021,3/11/2021
1172,Scenic Stays 30A LLC,179PPA,(West),,179 Pelican A,R-Seacrest Area,179 Pelican Circle #A,29692,Paid,5,Generic TAXI,0179,,1/23/2021,3/11/2021
1173,Scenic Stays 30A LLC,179PPB,(East),,179 Pelican B,R-Seacrest Area,179 Pelican Circle #B,29695,,,,,,1/1/2021,3/11/2021
1174,"360 Blue, LLC",SB44BL,Old name: Brenda Alpha,40 * 437174,,R-Seacrest Area,44 Brenda Lane,9368,Monthly,0,Blue Tire 360 YOLO,0044,,5/1/2021,
1175,"360 Blue, LLC",SB44BLC,Old name: Brenda Alpha Carriage,40 * 437174,,R-Seacrest Area,44 Brenda Lane,9370,Monthly,2,Blue Tire 360 YOLO,0044,,5/1/2021,
1176,"360 Blue, LLC",SB44BLM,Old name: Brenda Alpha Main,40 * 437174,,R-Seacrest Area,44 Brenda Lane,9372,Monthly,4,Blue Tire 360 YOLO,0044,,5/1/2021,
1177,Exclusive,SC64,,,Downward Dog,R-Seacrest Area,64 Brenda Lane,41978,Monthly,3,Exclusive TAXI,0064,,6/30/2022,
1179,"360 Blue, LLC",SB36GS,,40 * 437174,Green St. Beta,R-Seacrest Area,36 Green Street,39520,Monthly,4,Blue Tire 360 YOLO,0036,,6/13/2022,10/15/2022
1180,"360 Blue, LLC",SB41GS,"ALAYA
VIP Guest Experience Home
--
Garage: 0041000
Old name: Green St. Alpha",40 * 437174,The Sea Shak,R-Seacrest Area,41 Green Street,1032,Monthly,8,ALAYA Blue Tire 360 YOLO,0041,In garage.,12/23/2019,
1181,"360 Blue, LLC",SB59GS,ALAYA VIP Guest Experience,40 * 437174,Toro Azul,R-Seacrest Area,59 Green Street,50383,Monthly,5,ALAYA Blue Tire 360 YOLO,0059,,3/30/2023,
1182,"360 Blue, LLC",ZSB87GS,Garage: 20200,40 * 437174,Painted Sky,R-Seacrest Area,87 Green Street,1475,Monthly,4,Blue Tire 360 YOLO,0087,In garage.,10/31/2018,1/12/2023
1183,"360 Blue, LLC",SB8915,"ALAYA
Garage: 1228[ENTER]
Old name: 8915 E County Hwy 30A",40 * 437174,Amazing Grace,R-Seacrest Area,8915 E County Hwy 30A,30166,Monthly,8,ALAYA Blue Tire 360 YOLO,8915,Left side of the garage.,5/1/2022,
1184,"Oversee Rentals, LLC",2ATAD1,,,Good Life at the C,R-Seacrest Area,33 C Street,1726,Monthly,4,Oversee YOLO,0033,,12/8/2018,6/25/2023
1185,"Oversee Rentals, LLC",2AGHH1,,,Sweet Tea,R-Seacrest Area,67 A Street,2354,Monthly,4,Oversee YOLO,0067,,11/1/2020,6/25/2023
1186,"Oversee Rentals, LLC",2OWJR1,,,Coastal Haven,R-Seacrest Area,84 A Street,33818,Monthly,4,Oversee YOLO,0084,,4/4/2022,6/25/2023
1187,Callista Vacation Rentals,SB129AS,,112 * 697410,Sea-ing Light,R-Seacrest Area,129 A Street,53403,Monthly,3,Vacayzen New Wave,0129,,4/10/2023,
1188,Exclusive,SC129,,,The A Team,R-Seacrest Area,129 A Street,6012,Monthly,3,Exclusive TAXI,0129,,3/1/2020,6/27/2023
1189,Callista Vacation Rentals,SB146AS,,112 * 697410,30A Beach Bungalow,R-Seacrest Area,146 A Street,36422,Monthly,6,Callista YOLO,0146,,5/10/2022,4/9/2023
1190,Royal,172AST,"KABA entry on ""regular door"" across from front door.","Kaba: 84 * 919957 
Lockbox: 1534 or 3841",172 A Street,R-Seacrest Area,172 A Street,1981,Monthly,6,Royal TAXI,0172,In garage.,3/26/2020,
1191,"360 Blue, LLC",SB60WGD,"Garage: 0060
Old name: Walton Gulfview Alpha",40 * 437174,,R-Seacrest Area,60 Walton Gulfview Drive,28599,Monthly,6,Blue Tire 360 YOLO,0060,In garage.,12/21/2020,
1192,"360 Blue, LLC",SB150WGD,"Garage: 3030 ENTER.
Old name: Walton Gulfview Beta",40 * 437174,Gotta Lovitt,R-Seacrest Area,150 Walton Gulfview Drive,3241,Monthly,5,Blue Tire 360 YOLO,0150,In garage.,1/28/2021,
1193,"Oversee Rentals, LLC",2OHKC1,,,Camp Creek Cottage,R-Seacrest Area,65 Cottage Way,1697,Monthly,4,Oversee YOLO,0065,,7/10/2020,6/25/2023
1194,30A Sea Story,Cottage Way #103 (Purple Peacock),,,Purple Peacock,R-Seacrest Area,103 Cottage Way,3300,Paid,2,Generic TAXI,0103,,2/1/2021,1/2/2022
1195,"Vacasa, LLC",Happy Our,,,Happy Our,R-Seacrest Area,111 Cottage Way #14,N/A,Paid,2,BOSS,0014,,1/1/2021,12/31/2021
1196,"Benchmark Management, LLC",DRORD,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Doctor's Orders,R-Seacrest Area,156 Cottage Way,N/A,Paid,4,Generic TAXI,0156,,10/31/2018,1/17/2019
1197,"Vacasa, LLC",Happy Our II,,,Happy Our II,R-Seacrest Area,197 Cottage Way ##27,N/A,Paid,2,BOSS,0027,,1/1/2021,12/31/2021
1198,Exclusive,SEA8090,,,The Good Life,R-Seacrest Area,8090 E County Hwy 30A #5,6046,Monthly,2,Exclusive TAXI,0005,,3/1/2020,
1199,"Dune Real Estate Company, LLC",Shellstone Cottage | 8690 E Co Hwy 30A,Boardwalk Access Code: 1207,,Shellstone Cottage,R-Seacrest Area,8690 E County Hwy 30A,28635,Monthly,5,Dune TAXI,8690,,1/4/2022,
1201,Royal,83PELICA,Garage: 4284[ENTER],"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",83 Pelican Glide,R-Seacrest Area,83 Pelican Glide Lane,2001,Monthly,6,Royal TAXI,0083,,1/10/2019,8/10/2023
1202,XPLORIE,30A BH Walking Sunshine,,"House: 23 * 770179
Garage: 1288",Walking on Sunshine,R-Seacrest Area,93 Pelican Glide Lane,50941,Monthly,4,2022 Vacayzen TAXI,0093,In garage.,3/1/2023,
1203,"Benchmark Management, LLC",LDAYS,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Lazy Days,R-Seacrest Area,102 Pelican Glide Lane,N/A,Paid,4,Generic TAXI,0102,,10/31/2018,1/17/2019
1204,"360 Blue, LLC",SB8580,"ALAYA
Both Garage Codes: 0858 up/down button
Old name: Seacrest Delta",40 * 437174,White Sands,R-Seacrest Area,8580 E County Hwy 30A,1042,Monthly,8,ALAYA Blue Tire 360 YOLO,8580,Right side of garage.,8/17/2020,
1205,"Benchmark Management, LLC",SDREA,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Sweet Dreams,R-Seacrest Area,8690 E County Hwy 30A,N/A,Paid,4,Generic TAXI,8690,,10/31/2018,1/17/2019
1206,Pampered Palm,8690 E County Hwy 30A,,,Sweet Dreams,R-Seacrest Area,8690 E County Hwy 30A,1741,Paid,4,Generic TAXI,8690,,8/4/2020,1/2/2022
1207,Callista Vacation Rentals,SBMRB101,Gate : 6387#,112 * 697410,Sweet Dreams,R-Seacrest Area,8638 E County Hwy 30A #B101,1046,Monthly,3,Vacayzen New Wave,0101,"On the rack to the northwest side of the parking lot, behind the hedges.",3/24/2018,8/12/2023
1208,Royal,C301,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Monterey C301,R-Seacrest Area,8638 E County Hwy 30A #C301,N/A,Monthly,4,Royal TAXI,0301,,2/1/2021,2/4/2022
1209,"360 Blue, LLC",SBMRC301,,40 * 437174,Monterey Beta,R-Seacrest Area,8638 E County Hwy 30A #C301,N/A,Monthly,3,Blue Tire 360 YOLO,0301,Bikes are located on the rack to the northwest side of the parking lot behind the hedges.,10/31/2018,1/4/2021
1210,Exclusive,SEA302,Gate : 6387#,,Front Row,R-Seacrest Area,8638 E County Hwy 30A #C302,6049,Monthly,2,Exclusive TAXI,0302,,3/1/2020,8/6/2023
1212,Royal,87SEA,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Vitamin Sea at Seacrest,R-Seacrest Area,87 Seacrest Drive,29077,Monthly,8,Royal TAXI,0087,,12/18/2020,
1213,Royal,SEASEA,Garage: 52100,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Seaglass Cottage,R-Seacrest Area,125 Seacrest Drive,2067,Monthly,6,Royal TAXI,0125,In garage.,4/29/2019,6/12/2023
1214,"360 Blue, LLC",SB125SD,,40 * 437174,Seacrest Dr Alpha,R-Seacrest Area,125 Seacrest Drive,N/A,Monthly,5,Blue Tire 360 YOLO,0125,,10/31/2018,4/22/2019
1215,"Dune Real Estate Company, LLC",The Sands | 132 Seacrest Dr,Access Code: 1459,,The Sands,R-Seacrest Area,132 Seacrest Drive,1557,Monthly,5,Dune TAXI,0132,,10/31/2018,
1216,Royal,157SEA,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Gone Coastal,R-Seacrest Area,157 Seacrest Drive,1980,Monthly,6,Royal TAXI,0157,,7/3/2020,
1217,"360 Blue, LLC",SB166SD,Old name: Seacrest Foxtrot,40 * 437174,Endless Blue,R-Seacrest Area,166 Seacrest Drive,5989,Monthly,4,Blue Tire 360 YOLO,0166,,3/1/2021,
1218,"Benchmark Management, LLC",171SE,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,171 Seacrest,R-Seacrest Area,171 Seacrest Drive,N/A,Paid,4,Generic TAXI,0171,,10/31/2018,1/17/2019
1219,Royal,257SEAC,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",257 Seacrest,R-Seacrest Area,257 Seacrest Drive,58791,Monthly,6,Royal TAXI,0257,,6/5/2023,
1220,30A Luxury,MT1,,,Moon Tide,R-Seacrest Area,276 Seacrest Drive,55588,Monthly,4,30A Lux Taxi,0276,"Inside the privacy fence, on the concrete slab.",5/4/2023,
1221,Royal,349SEA,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Pool Perfect,R-Seacrest Area,349 Seacrest Drive,N/A,Monthly,4,Royal TAXI,0349,,10/20/2021,1/12/2022
1222,XPLORIE,30A BH The Blue Pearl,,"House: 23 * 770179
Garage: 1288",The Blue Pearl,R-Seacrest Area,389 Seacrest Drive,61684,Monthly,4,2022 Vacayzen TAXI,0389,,7/3/2023,
1223,"Oversee Rentals, LLC",2AERH1,,,Coral Retreat,R-Seacrest Area,392 Seacrest Drive,1692,Monthly,3,Oversee YOLO,0392,,11/30/2019,6/25/2023
1224,XPLORIE,Seacrest Serenity,,"House: 23 * 770179
Garage: 1288",Seacrest Serenity,R-Seacrest Area,476 Seacrest Drive,53634,Monthly,4,2022 Vacayzen TAXI,0476,In garage.,4/3/2023,
1225,Exclusive,SC489,,,Seacrest Drive Alpha,R-Seacrest Area,489 Seacrest Drive,48627,Monthly,5,Exclusive TAXI,0489,,10/27/2022,8/15/2023
1226,"Oversee Rentals, LLC",2AKKM1,,,Ritz Clareon,R-Seacrest Area,31 Clareon Drive,55356,Monthly,4,Oversee YOLO,0031,,4/29/2023,6/25/2023
1227,Callista Vacation Rentals,SB31CD,,112 * 697410,Clareon Alpha,R-Seacrest Area,31 Clareon Drive,1031,Monthly,4,Callista YOLO,0031,,2/3/2020,4/21/2023
1228,Royal,34CLAREO,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Caribbean Breeze,R-Seacrest Area,34 Clareon Drive,1990,Monthly,6,Royal TAXI,0034,,11/17/2018,2/13/2023
1229,"Oversee Rentals, LLC",2ASRD1,,,Clareon By The Coast,R-Seacrest Area,63 Clareon Drive,1724,Monthly,3,Oversee YOLO,0063,,10/31/2018,6/25/2023
1230,Royal,131CLAR,Access garage through home.,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",131 Clareon Dr.,R-Seacrest Area,131 Clareon Drive,45197,Monthly,4,Royal TAXI,0131,In garage.,8/11/2022,
1231,"360 Blue, LLC",SB145CL,Old name: Clareon Beta,40 * 437174,Heaven on 30A,R-Seacrest Area,145 Clareon Drive,39563,Monthly,4,Blue Tire 360 YOLO,0145,,7/9/2022,
1232,Royal,265CLARE,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",265 Clareon,R-Seacrest Area,265 Clareon Drive,29548,Monthly,4,Royal TAXI,0265,,2/26/2022,6/8/2023
1233,"360 Blue, LLC",SB275CD,,40 * 437174,,R-Seacrest Area,275 Clareon Drive,49780,Monthly,5,Blue Tire 360 YOLO,0275,left side of the driveway,2/14/2023,4/19/2023
1234,"Oversee Rentals, LLC",2ADFK1,,,398 Clareon,R-Seacrest Area,398 Clareon Drive,1691,Monthly,3,Oversee YOLO,0398,,12/6/2019,6/25/2023
1235,XPLORIE,30A BH Mar Chiquita,,"House: 23 * 770179
Garage: 1288",Mar Chiquita,R-Seacrest Area,409 Clareon Drive,50820,Monthly,4,2022 Vacayzen TAXI,0409,In garage.,3/1/2023,
1236,"Oversee Rentals, LLC",2CJAF1,,,Dare To Dream,R-Seacrest Area,472 Clareon Drive,1731,Monthly,2,Oversee YOLO,0472,,5/30/2018,6/25/2023
1237,Callista Vacation Rentals,SBWH101,Waterhouse Condos,112 * 697410,Waterhouse Delta 101,R-Seacrest Area,8377 E County Hwy 30A #101,49167,Monthly,3,Vacayzen New Wave,0101,"In the parking lot behind the building, next to WaterHouse Charlie 102 bikes.",12/17/2022,
1238,Callista Vacation Rentals,SBWH102,Waterhouse Condos,112 * 697410,WaterHouse Charlie 102,R-Seacrest Area,8377 E County Hwy 30A #102,9364,Monthly,3,Vacayzen New Wave,0102,"In the parking lot behind the building, next to WaterHouse Delta 101 bikes.",5/13/2021,
1239,Royal,WATER102,Waterhouse Condos,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",WaterHouse 102,R-Seacrest Area,8377 E County Hwy 30A #102,N/A,Monthly,2,Royal TAXI,0102,,10/31/2018,3/1/2021
1240,Royal,WATER203,Waterhouse Condos,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",WaterHouse 203,R-Seacrest Area,8377 E County Hwy 30A #203,2084,Monthly,2,Royal TAXI,0203,In the parking lot behind the building.,10/31/2018,
1241,"Oversee Rentals, LLC",2OLAA1,Waterhouse Condos,,Waterhouse 204,R-Seacrest Area,8377 E County Hwy 30A #204,32920,Monthly,3,Oversee YOLO,0204,In the parking lot behind the building.,3/25/2022,6/25/2023
1242,Callista Vacation Rentals,SBWH204,Waterhouse Condos,112 * 697410,Waterhouse Beta,R-Seacrest Area,8377 E County Hwy 30A #204,1397,Monthly,3,Blue Tire 360 YOLO,0204,Bikes are located in the parking lot behind the building.,10/31/2018,3/19/2022
1243,Royal,WATERHOUSE 302,Waterhouse Condos,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",WaterHouse 302,R-Seacrest Area,8377 E County Hwy 30A #302,N/A,Monthly,0,Generic TAXI,0302,,1/1/2018,1/23/2018
1244,Royal,WATER401,Waterhouse Condos,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",WaterHouse 401,R-Seacrest Area,8377 E County Hwy 30A #401,2085,Monthly,2,Royal TAXI,0401,,10/31/2018,
1245,30A Luxury,SC-MOON3,"Gate: C1965
Keybox: 0028
using backpack chairs for comp sets due to property lines. (2) sets",,Moonshadow and Stargazy,R-Seacrest Area,8220 E County Hwy 30A,838,Monthly,0,30A Lux TAXI,"8221
-
8222",,5/23/2020,
1247,30A Luxury,SC-MOON1,"Gate: C1965
Keybox: 0028",,Moonshadow Cottage,R-Seacrest Area,8220 E County Hwy 30A,836,Monthly,6,30A Lux TAXI,8221,,10/31/2018,
1249,30A Luxury,SC-MOON2,"Gate: C1965
Keybox: 0028
using backpack chairs for comp sets due to property lines. (2) sets",,Stargazy,R-Seacrest Area,8220 E County Hwy 30A,837,Monthly,4,30A Lux TAXI,8222,,5/23/2020,
1251,Royal,ASHORE,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Ashore Thing,R-Seacrest Area,8200 E County Hwy 30A,2007,Monthly,2,Royal TAXI,8200,,10/31/2018,
1253,Exclusive,SC7985,,,Eyes on Sunrise,R-Seacrest Area,7985 E County Hwy 30A,55606,Monthly,8,Exclusive TAXI,7985,On the left side of garage.,5/8/2023,
1254,30A Luxury,SC-SEAM1,House: 5*224937,,Seamist Condo,R-Seacrest Area,8078 E County Hwy 30A #8,839,Monthly,2,30A Lux TAXI,0008,On the right side of the parking lot.,10/31/2018,
1255,Scenic Stays 30A LLC,AREEF,,,Ariel's Reef,R-Seacrest Area,8045 E County Hwy 30A,3099,Monthly,5,2022 Vacayzen TAXI,8045,,1/23/2021,
1256,Royal,ARIELS,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Ariel's Reef,R-Seacrest Area,8045 E County Hwy 30A,N/A,Monthly,2,30A w/ Yellow,8045,,10/31/2018,10/21/2019
1257,XPLORIE,Magnolia Brown Pelican,,"House: 23 * 770179
Garage: 1288",Brown Pelican,R-Seacrest Area,19 Kareny Lane,50956,Monthly,4,2022 Vacayzen TAXI,0019,In garage.,3/1/2023,
1258,Scenic Stays 30A LLC,18VIZ,,,18 Vizcaya,R-Seacrest Area,18 Vizcaya Lane,35630,Monthly,4,2022 Vacayzen TAXI,0018,,4/29/2022,
1259,30A Sea Story,Magnolia Cottages By The Sea - Blossom,,,Magnolia Cottages By The Sea - Blossom,R-Seacrest Area,31 Vizcaya Lane,N/A,Paid,0,Generic TAXI,0031,Bikes in open pine straw space to the right of shed,1/1/2019,12/4/2019
1260,"Benchmark Management, LLC",STLBL,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Stella Blue,R-Seacrest Area,9 Vinings Lane,64542,Monthly,4,Generic TAXI,0009,In front of the house.,8/11/2023,
1261,XPLORIE,Magnolia Cottages - Paradise Pool,,"House: 23 * 770179
Garage: 1288",Paradise by the Pool,R-Seacrest Area,113 Patina Boulevard,50961,Monthly,4,2022 Vacayzen TAXI,0113,In garage.,3/1/2023,
1262,"Oversee Rentals, LLC",2OCAT1,,,Casa De La Sirena,R-Seacrest Area,563 Patina Boulevard,1716,Monthly,3,Oversee YOLO,0563,,10/31/2018,6/25/2023
1263,XPLORIE,Magnolia Shore Thing,,"House: 23 * 770179
Garage: 1288",Shore Thing,R-Seacrest Area,587 Patina Boulevard,50985,Monthly,4,2022 Vacayzen TAXI,0587,In garage.,3/1/2023,
1264,XPLORIE,Magnolia White Flamingo,,"House: 23 * 770179
Garage: 1288",White Flamingo,R-Seacrest Area,619 Patina Boulevard,50988,Monthly,4,2022 Vacayzen TAXI,0619,In garage.,3/1/2023,
1265,"Oversee Rentals, LLC",2ARJM1,,,The White Flamingo,R-Seacrest Area,619 Patina Boulevard,N/A,Monthly,3,Oversee YOLO,0619,,11/10/2018,12/31/2019
1266,XPLORIE,Magnolia Connecticut Yan,,"House: 23 * 770179
Garage: 1288",Connecticut Yankee,R-Seacrest Area,633 Patina Boulevard,50959,Monthly,4,2022 Vacayzen TAXI,0633,In garage.,3/1/2023,
1267,XPLORIE,Magnolia Cottages - Cresta Del Mar,,"House: 23 * 770179
Garage: 1288",Cresta Del Mar,R-Seacrest Area,637 Patina Boulevard,50932,Monthly,4,2022 Vacayzen TAXI,0637,In garage.,3/1/2023,
1268,XPLORIE,Magnolia Land of Ahhhs,,"House: 23 * 770179
Garage: 1288",Land of Ahhhs,R-Seacrest Area,651 Patina Boulevard,50978,Monthly,4,2022 Vacayzen TAXI,0651,In garage.,3/1/2023,
1269,XPLORIE,Magnolia Georgia Peach,,"House: 23 * 770179
Garage: 1288",Georgia Peach at the Beach,R-Seacrest Area,679 Patina Boulevard,50965,Monthly,4,2022 Vacayzen TAXI,0679,In garage.,3/1/2023,
1270,XPLORIE,Magnolia Cottages Serenity,,"House: 23 * 770179
Garage: 1288",Serenity,R-Seacrest Area,755 Patina Boulevard,58303,Monthly,4,2022 Vacayzen TAXI,0755,In garage.,6/1/2023,
1271,XPLORIE,Magnolia Cottages - SeaHaze,,"House: 23 * 770179
Garage: 1288",SeaHaze,R-Seacrest Area,765 Patina Boulevard,50963,Monthly,4,2022 Vacayzen TAXI,0765,In garage.,3/1/2023,8/8/2023
1272,XPLORIE,Magnolia Sel La Vie,,"House: 23 * 770179
Garage: 1288",Sel La Vie,R-Seacrest Area,785 Patina Boulevard,50979,Monthly,4,2022 Vacayzen TAXI,0785,In garage.,3/1/2023,
1273,XPLORIE,Magnolia Aglow by Sea,,"House: 23 * 770179
Garage: 1288",Aglow by the Sea,R-Seacrest Area,931 Patina Boulevard,50952,Monthly,4,2022 Vacayzen TAXI,0931,In garage.,3/1/2023,
1274,XPLORIE,Magnolia Blue Daze,,"House: 23 * 770179
Garage: 1288",Blue Daze,R-Seacrest Area,943 Patina Boulevard,50955,Monthly,4,2022 Vacayzen TAXI,0943,In garage.,3/1/2023,
1275,XPLORIE,Magnolia Cottages - Suite Escape,,"House: 23 * 770179
Garage: 1288",Suite Escape,R-Seacrest Area,9 Creek Park Lane,56876,Monthly,4,2022 Vacayzen TAXI,0009,In garage.,5/19/2023,
1276,XPLORIE,Magnolia Cottages - Grey Gull,,"House: 23 * 770179
Garage: 1288",Grey Gull,R-Seacrest Area,34 Creek Park Lane,50962,Monthly,4,2022 Vacayzen TAXI,0034,In garage.,3/1/2023,
1277,XPLORIE,Magnolia Sweet 17,,"House: 23 * 770179
Garage: 1288",Sweet 17,R-Seacrest Area,17 Canopy Lane,50986,Monthly,4,2022 Vacayzen TAXI,0017,In garage.,3/1/2023,
1278,XPLORIE,Magnolia Shore Beats Wor,,"House: 23 * 770179
Garage: 1288",Shore Beats Work,R-Seacrest Area,25 Canopy Lane,50981,Monthly,4,2022 Vacayzen TAXI,0025,In garage.,3/1/2023,
1279,XPLORIE,Magnolia Good Timin,,"House: 23 * 770179
Garage: 1288",Good Timin',R-Seacrest Area,37 Canopy Lane,50977,Monthly,4,2022 Vacayzen TAXI,0037,In garage.,3/1/2023,
1280,"Dune Real Estate Company, LLC",La Pura Vida | 12 Seabreeze Way,,,Stagg By The Sea,R-Seacrest Area,12 Seabreeze Way,2307,Monthly,5,Dune TAXI,0012,"On left side of garage, opposite of pool/gate entry.",11/21/2020,
1281,"360 Blue, LLC",SB7999,"ALAYA
Garage Code: 3848
Old name: Seacrest 30A Beta",40 * 437174,Ocean Pearl,R-Seacrest Area,7999 E County Hwy 30A,14941,Monthly,8,ALAYA Blue Tire 360 YOLO,7999,In garage.,6/9/2021,
1282,Exclusive,SC94,,,Sandy’s Seacrest,R-Seacrest Area,94 Seabreeze Boulevard,31053,Monthly,4,Exclusive TAXI,0094,,3/4/2022,
1284,"Benchmark Management, LLC",Seabreeze Trail,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Seabreeze Trail,R-Seacrest Area,94 Seabreeze Trail,N/A,Paid,4,Generic TAXI,0094,,1/1/2018,1/10/2018
1285,"Benchmark Management, LLC",Breeze Marina,,489145*(or 'checkmark')  Benchmark can open doors remotely if we call them. (850) 745-4555,Breeze Marina,R-Seacrest Area,130 Seabreeze Trail,N/A,Paid,4,Generic TAXI,0130,,1/1/2018,1/10/2018
1286,"Dune Real Estate Company, LLC",Afternoon Nap | 7951 E Co Highway 30A,,,Afternoon Nap,R-Seacrest Area,7951 E County Hwy 30A,57528,Monthly,4,Dune TAXI,7951,,5/25/2023,
